"5htr1b" "5htr1bchag80" "58e02" "58e02thg80" "c061" "hl8" "mb025b" "mb032b" "mb056b" "mb058b" "mb060b" "mb065b" "mb109b" "mb299c" "mb301b" "mb304b" "mb315c" "mb438b" "mb439b" "mz19" "mz19chag80" "mz840" "mz840np6510" "NorpAChrimson" "NorpAChrimsonCo" "np47" "np47chag80" "np1528" "np2758" "np5272" "np5272mz840" "np6510" "np6510np5272" "or42b" "or42bCo" "thc1" "thd1" "thd4" "thdprime" "thf1" "thf2" "thf3" "thg1" "thg4chag80" "thg4thg80" "trpa1gr28bd" "trpa1gr28bdCo" "trpa1Gr28bd_mutants"
"32" -0.01142 0.553 0.2455 0.0417 -0.02811 0.2983 -0.2575 0.01856 0.2083 -0.3602 0.057 -0.02134 -0.1987 -0.1037 -0.06227 0.05572 -0.4552 -0.06963 -0.2268 -0.2472 -0.212 -0.3872 -0.06464 0.1139 0.3671 -0.2734 -0.1083 -0.6458 0.08295 -0.2429 -0.1881 -0.2537 -0.05402 -0.215 -0.1607 -0.004475 -0.3277 0.05026 -0.08968 -0.1061 0.1309 -0.04999 0.3883 0.001981 0.134 -0.1809 0.1135 -0.1666
"33" -0.1151 0.432 -0.4573 0.5382 -0.1022 0.4362 0.4643 0.1911 0.1956 -0.1109 0.08267 -0.07455 -0.01184 -0.01419 0.07001 0.2093 -0.03782 0.001943 -0.2815 -0.0936 0.1211 -0.2306 -0.02666 0.002645 0.344 -0.3529 -0.1391 -0.06751 -0.3322 0.0768 -0.116 -0.1242 -0.2057 0.1534 0.1594 -0.04766 0.1252 0.09497 -0.008118 0.01289 -0.1071 -0.009988 0.05544 0.1324 0.01111 -0.08637 0.05072 -0.4291
"34" 0.1217 0.5599 -0.08006 0.09605 0.08538 0.1416 -0.1441 0.1222 0.1896 -0.1423 -0.05935 0.2646 -0.06401 -0.03251 0.2312 0.05522 0.1203 -0.5515 -0.3332 -0.06445 0.01178 0.2398 -0.01446 0.0625 0.2898 -0.2949 0.003206 -0.01936 0.1104 -0.1195 -0.2295 0.08176 -0.3187 0.1826 -0.03488 -0.02741 0.08219 0.04803 -0.2447 0.09371 -0.2644 0.04127 0.08489 -0.01637 0.0278 0.06061 -0.03808 -0.2801
"35" -0.03716 0.4218 0.1532 0.271 -0.05375 0.0079 -0.1641 -0.01936 -0.115 0.03143 0.1341 0.1394 -0.3387 0.01312 0.5274 -0.01448 0.07653 -0.2873 -0.3053 0.003172 -0.2981 -0.1103 -0.1599 -0.04724 0.09304 -0.316 -0.09157 -6.353e-05 -0.2565 -0.1047 -0.01286 -0.096 -0.02958 0.06657 0.001572 0.05204 0.2331 -0.06427 -0.004356 -0.1926 0.1154 -0.07832 -0.07536 -0.04145 0.02551 -0.5272 0.01962 0.03074
"36" 0.2314 0.266 -0.1999 0.0879 -0.1923 0.1824 -0.2292 0.02044 0.0288 0.2957 0.01536 -0.3444 -0.01141 -0.074 0.02399 -0.9352 -0.003496 -0.3035 0.2356 -0.218 -0.2199 -0.3482 -0.2134 -0.04408 -0.04195 0.0745 0.02337 -0.1994 -0.0993 -0.1716 -0.8134 0.1107 -0.151 -0.4743 0.104 0.03659 0.3373 NA -0.07464 -0.2633 0.1131 -0.03331 0.1308 0.04103 0.009629 -0.4048 0.03669 0.01115
"37" 0.1806 0.03983 0.06396 0.3121 -0.017 0.3089 -0.5302 -0.2358 -0.2931 0.3223 0.0261 0.1979 -0.0452 0.4375 0.2121 0.1955 0.05604 -0.09692 -0.323 0.02708 -0.102 -0.1455 -0.08521 -0.002914 -0.3827 -0.2731 -0.2726 -0.0184 -0.115 0.08976 -0.4403 0.07869 -0.1331 -0.3737 0.103 0.05579 0.08159 0.1857 -0.09737 0.1718 0.04651 0.0752 -0.01785 0.1024 0.001965 -0.7816 -0.06881 -0.3548
"38" 0.1669 -0.8288 -0.05372 0.2003 -0.1958 0.08125 0.305 -0.4115 0.000576 -0.09431 0.04776 0.1689 -0.01891 -0.1273 0.02345 0.09707 0.07967 0.2434 -0.204 -0.01865 -0.4295 -0.00986 -0.2506 -0.09209 -0.03487 0.06724 -0.1189 -0.2049 -0.2334 -0.4646 -0.2199 0.01733 -0.07203 -0.1694 0.1659 -0.05681 0.09725 0.08959 -0.1471 0.5771 0.125 0.06839 0.1117 0.08242 -0.003103 -0.1543 -0.03901 -0.05389
"39" 0.03029 NA 0.2282 -0.1156 0.04593 -0.1776 -0.2312 -0.2654 -0.1308 NA 0.1926 0.01216 -0.03335 NA 0.1633 -0.02994 0.07436 0.1149 0.3195 -0.111 -0.001248 -0.1328 0.109 0.008024 -0.1315 -0.2785 0.008799 -0.2769 -0.1808 -0.1401 0.4354 -0.2326 -0.1309 -0.26 0.08399 -0.05955 0.4422 0.3352 0.006293 -0.3529 -0.04864 0.01526 -0.2262 0.04337 -0.1215 -0.8067 -0.1389 -0.244
"40" 0.04891 NA -0.00192 0.1579 -0.1788 0.1226 -0.4612 -0.07218 0.2068 NA 0.05859 0.3219 -0.2826 NA 0.346 -0.0694 -0.2473 0.2266 -0.01381 -0.001614 -0.1352 0.02245 -0.2751 0.03088 -0.07856 -0.2789 -0.1639 -0.4981 -0.2243 -0.08503 -0.07538 -0.1765 -0.2187 0.0522 -0.1136 -0.03802 -0.151 -0.08711 -0.1653 0.1516 0.05048 0.2318 0.1964 0.3725 -0.03317 -0.3083 0.03392 -0.06758
"41" -0.1231 -0.09691 0.06759 0.3907 0.0689 0.2549 0.09485 0.3149 0.03118 0.07811 0.06969 0.5561 -0.1416 -0.1549 0.1462 0.1094 0.02766 0.0357 0.1014 -0.1075 0.1028 -0.2602 -0.1313 -0.01974 0.1055 0.1361 0.04281 -0.1175 -0.1038 -0.2694 -0.199 -0.1513 -0.1162 -0.224 0.06284 -0.101 0.08818 -0.5107 0.03925 0.2108 0.1708 -0.2274 -0.08087 0.1562 -0.07229 -0.01047 -0.002817 -0.06022
