"trpa1gr28bdCo" "trpa1gr28bd" "hl8" "5htr1bchag80" "58e02thg80" "mb065b" "thd1" "thg1" "thf3" "mb301b" "mb060b" "thf2" "thf1" "thd4" "5htr1b" "mb056b" "mb299c" "thg4chag80" "58e02" "thc1" "mb304b" "mb315c" "thg4thg80" "mb025b" "mb032b" "mb058b" "mb438b" "mz840" "mb439b" "mz840np6510" "mb109b" "thdprime" "np6510" "np1528" "np47" "np6510np5272" "np47chag80" "mz19" "np5272" "mz19chag80" "np5272mz840"
"46" 0.0604 -0.5787 0.4708 -0.2222 -0.1151 0.3785 0.179 0.4114 -0.0033 0.06352 -0.1048 0.0704 0.1442 -0.1119 0.02002 0.07739 0.008138 0.005136 0.1182 0.1091 0.2001 0.05934 -0.07966 0.005755 0.1733 0.06419 -0.1313 -0.08298 0.05673 -0.03451 -0.06311 -0.1934 -0.0792 -0.1649 0.1899 -0.06289 -0.4588 -0.02962 -0.03607 -0.4709 -0.5395
"47" -0.1113 -0.1999 0.3226 0.09291 0.1552 0.1951 0.1951 -0.2496 0.04632 -0.07677 -0.102 -0.06654 -0.2767 0.05608 0.32 -0.2321 -0.4429 -0.00788 0.1261 0.2615 0.08145 -0.03404 0.03846 -0.02541 0.02879 -0.03054 -0.4851 0.05727 -0.1819 0.1551 0.1572 -0.1885 -0.3708 0.01252 -0.09389 -0.2421 -0.4138 -0.3376 -0.0353 -0.1653 -0.5792
"48" 0.054 -0.4848 0.006094 0.3798 0.2293 0.4717 -0.08513 -0.08792 0.01911 0.07204 -0.08623 0.1916 -0.03009 0.06252 0.01498 0.1614 0.1158 -0.09729 -0.1391 -0.04429 0.07924 -0.1208 -0.04625 -0.4521 0.1616 -0.1308 0.381 0.4669 -0.5143 -0.1812 -0.3351 -0.1732 -0.04003 -0.2095 -0.1006 -0.0733 -0.1846 -0.1837 0.05109 -0.2087 -0.1512
"49" 0.06072 0.1119 0.312 0.4493 0.05222 0.1185 -0.03171 0.3798 -0.1868 0.2056 0.166 0.02816 0.1142 0.05387 -0.1633 -0.05453 0.03355 0.006105 0.2191 0.0338 -0.1486 0.06982 -0.05526 0.1277 -0.121 -0.1602 -0.2779 0.09576 -0.02049 0.05928 -0.2216 -0.02813 -0.3008 -0.07672 -0.09523 -0.1862 -0.02802 -0.1079 -0.1913 -0.1395 -0.3674
"50" -0.1532 -0.7159 0.3517 0.2447 0.1227 -0.03899 0.02913 0.2638 0.1362 0.1752 0.1067 0.03007 0.2128 0.005604 0.26 0.07561 -0.2981 -0.05392 0.3474 -0.008365 0.004708 0.0472 0.0731 0.171 -0.2918 0.08431 0.1367 -0.01845 -0.2341 -0.1446 -0.1239 -0.06449 -0.04377 0.002693 -0.01018 -0.09389 -0.1145 -0.1088 -0.2632 -0.3147 0.01222
"51" 0.1761 0.1172 0.2408 -0.00895 0.06193 -0.09647 -0.06727 0.00306 0.06285 0.03904 0.003516 -0.05813 0.1197 0.1682 0.2719 0.2025 0.07435 0.07188 0.1739 0.1144 -0.01134 0.1217 -0.02646 -0.1125 -0.1407 -0.3342 -0.0905 -0.1224 -0.07775 0.0885 0.3464 -0.02217 -0.05856 -0.1332 0.07078 -0.03684 0.0001015 0.04547 -0.4967 -0.313 -0.1425
"52" -0.01476 -0.6822 0.6366 0.07916 0.1519 0.008055 0.09969 -0.1089 -0.01042 0.1299 0.1044 0.01842 -0.1991 0.1206 -0.09282 -0.02027 0.09785 0.006879 0.1549 0.1165 0.2685 0.08643 -0.03004 -0.3308 0.5742 0.08996 -0.1821 -0.1782 0.004384 0.06452 -0.05393 0.08117 0.09975 -0.1576 0.05887 -0.137 -0.1117 -0.01194 -0.04488 -0.1532 -0.2605
"53" 0.0579 -0.2267 0.3421 0.3065 0.1244 0.09644 -0.1844 0.0145 -0.1342 0.01348 -0.00378 0.08262 0.1911 0.1016 0.08236 -0.03891 0.07431 -0.007573 -0.3659 -0.1138 0.2414 -0.1341 0.03661 -0.1262 -0.08529 -0.07812 -0.2177 -0.1786 -0.2236 0.003056 0.06268 -0.2237 -0.1769 -0.2526 -0.2242 -0.0765 -0.1057 -0.1648 -0.4336 -0.09024 -0.374
"54" 0.05247 -0.5121 0.4677 0.1086 -0.3186 0.1821 0.009194 0.2755 0.1532 0.1536 0.07118 0.0006588 0.009668 0.02935 0.1622 0.2873 0.2534 0.2543 0.09868 0.1659 0.09897 0.1106 0.04228 0.1238 0.03337 -0.01949 0.01814 -0.0582 -0.1289 -0.1082 0.04707 -0.1088 -0.0812 -0.1475 -0.3957 -0.07069 -0.08122 -0.04209 0.05847 -0.4267 -0.006021
"55" 0.01284 -0.4519 0.07417 0.1875 -0.04555 0.3227 -0.0631 -0.06245 -0.02155 0.1835 -0.04397 0.2009 -0.2362 0.01558 -0.006817 -0.04295 -0.121 0.00354 0.1202 0.02745 -0.0277 0.2577 0.003678 0.166 0.02069 0.00617 0.3605 -0.08184 -0.2364 -0.2234 -0.09503 -0.1457 -0.4182 0.1367 -0.04162 -0.06605 -0.1305 -0.1458 -0.3372 -0.3043 -0.3139
